0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.5	0.0	3.0	1.0	1.0	1.0	3.5	0.0	2.0	0.0	2.5	1.0	3.5	1.0	4.0
0.0	0.0	0.5	3.0	0.0	0.0	2.0	2.5	1.0	1.0	1.0	3.5	1.0	1.0	3.5	4.0
0.0	0.5	0.5	6.0	1.0	1.0	3.0	6.0	1.0	3.0	1.0	6.0	2.0	4.5	4.5	8.0
0.0	1.0	0.0	1.0	0.5	1.0	2.0	3.5	0.0	1.0	0.0	1.0	3.0	3.5	2.5	4.0
0.0	1.5	0.0	4.0	1.5	2.0	3.0	7.0	0.0	3.0	0.0	3.5	4.0	7.0	3.5	8.0
0.0	1.0	0.5	4.0	0.5	1.0	4.0	6.0	1.0	2.0	1.0	4.5	4.0	4.5	6.0	8.0
0.0	1.5	0.5	7.0	1.5	2.0	5.0	9.5	1.0	4.0	1.0	7.0	5.0	8.0	7.0	12.0
0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.5	2.0	1.0	3.5	3.0	2.5	3.5	4.0
0.0	0.5	1.0	4.0	1.0	1.0	2.0	4.5	0.5	4.0	1.0	6.0	4.0	6.0	4.5	8.0
0.0	0.0	1.5	4.0	0.0	0.0	3.0	3.5	1.5	3.0	2.0	7.0	4.0	3.5	7.0	8.0
0.0	0.5	1.5	7.0	1.0	1.0	4.0	7.0	1.5	5.0	2.0	9.5	5.0	7.0	8.0	12.0
0.0	1.0	1.0	2.0	0.5	1.0	3.0	4.5	0.5	3.0	1.0	4.5	6.0	6.0	6.0	8.0
0.0	1.5	1.0	5.0	1.5	2.0	4.0	8.0	0.5	5.0	1.0	7.0	7.0	9.5	7.0	12.0
0.0	1.0	1.5	5.0	0.5	1.0	5.0	7.0	1.5	4.0	2.0	8.0	7.0	7.0	9.5	12.0
0.0	1.5	1.5	8.0	1.5	2.0	6.0	10.5	1.5	6.0	2.0	10.5	8.0	10.5	10.5	16.0
